sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price,predictions_knn,residuals_knn_abs,residuals_knn,resid_percent_knn_abs,resid_percent_knn
62,1.0,1,2,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,13.225806451612904,2,0,820.0,875.0,55.0,-55.0,6.7073170731707314,-6.7073170731707314
74,2.0,2,4,0,1,1,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,2,22.297297297297302,7,0,1650.0,1325.0,325.0,325.0,19.696969696969695,19.696969696969695
254,4.0,3,5,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,11.417322834645667,6,0,2900.0,3200.0,300.0,-300.0,10.344827586206897,-10.344827586206897
46,1.0,1,2,1,1,1,1,0,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,5,20.65217391304348,6,0,950.0,1045.0,95.0,-95.0,10.0,-10.0
109,2.0,1,1,0,0,1,1,0,1,1, Centro , Palacio ,1355,1370,4,15.596330275229356,6,0,1700.0,1662.5,37.5,37.5,2.2058823529411766,2.2058823529411766
50,1.0,1,3,0,0,1,0,0,0,0, Centro , Palacio ,1355,1370,1,17.4,6,0,870.0,925.0,55.0,-55.0,6.32183908045977,-6.32183908045977
75,3.0,1,3,0,0,1,1,1,0,0, Barrio de Salamanca , Guindalera ,2079,1349,3,16.0,6,0,1200.0,1175.0,25.0,25.0,2.0833333333333335,2.0833333333333335
50,1.0,1,1,0,1,1,1,1,0,0, Chamberí , Arapiles ,1671,1325,5,23.0,7,0,1150.0,1240.0,90.0,-90.0,7.826086956521739,-7.826086956521739
35,0.0,1,5,1,1,1,1,1,1,0, Barrio de Salamanca , Guindalera ,2079,1349,6,24.285714285714285,6,0,850.0,1550.0,700.0,-700.0,82.3529411764706,-82.3529411764706
67,3.0,1,3,0,0,0,1,1,0,0, Latina , Águilas ,992,800,2,11.940298507462687,1,0,800.0,825.0,25.0,-25.0,3.125,-3.125
85,1.0,1,5,0,1,1,1,1,0,0, Centro , Palacio ,1355,1370,5,15.294117647058822,6,0,1300.0,1900.0,600.0,-600.0,46.15384615384615,-46.15384615384615
90,1.0,1,2,0,1,1,1,0,0,0, Chamberí , Almagro ,1671,2327,4,16.666666666666668,8,0,1500.0,1300.0,200.0,200.0,13.333333333333334,13.333333333333334
73,2.0,1,1,0,0,1,1,1,1,0, Moncloa , Aravaca ,2151,2367,4,13.698630136986301,4,0,1000.0,925.0,75.0,75.0,7.5,7.5
33,1.0,1,1,0,0,0,0,0,0,0, Arganzuela , Delicias ,1094,1116,1,24.24242424242424,5,0,800.0,675.0,125.0,125.0,15.625,15.625
150,4.0,3,8,1,1,1,1,0,0,1, Chamberí , Gaztambide ,1671,1448,5,14.0,6,0,2100.0,2500.0,400.0,-400.0,19.047619047619047,-19.047619047619047
50,2.0,1,0,1,0,0,0,0,0,0, Moncloa , Casa de Campo ,2151,1288,1,15.0,4,0,750.0,1125.0,375.0,-375.0,50.0,-50.0
20,1.0,1,3,0,1,1,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,32.5,6,0,650.0,825.0,175.0,-175.0,26.923076923076923,-26.923076923076923
55,2.0,1,3,0,1,1,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.454545454545455,6,0,850.0,850.0,0.0,0.0,0.0,0.0
44,2.0,1,5,0,0,1,0,0,0,0, Retiro , Ibiza ,1790,1462,2,19.318181818181817,7,0,850.0,950.0,100.0,-100.0,11.764705882352942,-11.764705882352942
45,1.0,1,5,1,1,1,0,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,5,22.222222222222218,8,0,1000.0,1275.0,275.0,-275.0,27.5,-27.5
55,2.0,1,1,0,0,0,1,0,0,0, Centro , Chueca-Justicia ,1355,1709,1,16.272727272727273,8,0,895.0,857.5,37.5,37.5,4.189944134078212,4.189944134078212
57,1.0,1,0,0,1,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,3,20.17543859649123,7,0,1150.0,850.0,300.0,300.0,26.08695652173913,26.08695652173913
50,2.0,1,1,0,0,1,1,0,0,0, Carabanchel , Opañel ,892,885,2,17.0,4,0,850.0,912.5,62.5,-62.5,7.352941176470588,-7.352941176470588
40,1.0,1,2,1,0,1,1,0,0,0, Chamberí , Gaztambide ,1671,1448,2,21.25,6,0,850.0,1345.0,495.0,-495.0,58.23529411764706,-58.23529411764706
110,2.0,2,5,0,1,1,0,0,0,0, Centro , Palacio ,1355,1370,3,14.536363636363635,6,0,1599.0,1439.5,159.5,159.5,9.974984365228268,9.974984365228268
70,2.0,2,4,1,1,1,0,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,3,17.142857142857142,8,0,1200.0,1600.0,400.0,-400.0,33.333333333333336,-33.333333333333336
120,3.0,2,5,0,1,1,1,1,1,1, San Blas , Rejas ,1071,968,9,11.25,2,0,1350.0,1350.0,0.0,0.0,0.0,0.0
85,2.0,2,3,0,1,0,1,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,1,15.294117647058822,6,0,1300.0,1625.0,325.0,-325.0,25.0,-25.0
108,2.0,2,9,0,0,1,1,0,0,0, Chamartín , Castilla ,1950,1451,3,11.111111111111109,5,0,1200.0,1350.0,150.0,-150.0,12.5,-12.5
105,2.0,2,1,0,1,1,1,0,1,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.238095238095234,6,0,1600.0,1347.5,252.5,252.5,15.78125,15.78125
60,2.0,1,7,0,1,1,1,0,0,0, San Blas , Simancas ,1071,948,2,12.166666666666664,2,0,730.0,1045.0,315.0,-315.0,43.15068493150685,-43.15068493150685
90,2.0,1,3,0,0,1,0,0,0,0, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,2,12.777777777777779,6,0,1150.0,1075.0,75.0,75.0,6.521739130434782,6.521739130434782
80,2.0,2,4,0,1,1,1,0,0,1, Barajas , Timón ,1082,966,5,12.5,2,0,1000.0,1020.0,20.0,-20.0,2.0,-2.0
69,2.0,1,8,1,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,4,26.08695652173913,7,0,1800.0,1300.0,500.0,500.0,27.77777777777778,27.77777777777778
32,2.0,1,4,0,0,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,25.0,6,0,800.0,1050.0,250.0,-250.0,31.25,-31.25
95,3.0,2,3,1,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,16.842105263157894,7,0,1600.0,1425.0,175.0,175.0,10.9375,10.9375
50,1.0,1,4,0,0,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,15.8,7,0,790.0,1275.0,485.0,-485.0,61.392405063291136,-61.392405063291136
89,2.0,2,3,0,1,1,1,0,0,0, Puente de Vallecas , Palomeras Bajas ,775,825,3,9.550561797752811,2,0,850.0,925.0,75.0,-75.0,8.823529411764707,-8.823529411764707
100,3.0,2,2,1,1,0,0,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,17.39,6,0,1739.0,1422.5,316.5,316.5,18.200115008625648,18.200115008625648
61,1.0,1,0,0,0,1,1,0,0,0, Centro , Palacio ,1355,1370,2,15.573770491803279,6,0,950.0,1062.5,112.5,-112.5,11.842105263157896,-11.842105263157896
170,4.0,2,4,1,1,1,1,1,0,0, Chamartín , Nueva España ,1950,2310,4,12.941176470588234,6,0,2200.0,2400.0,200.0,-200.0,9.090909090909092,-9.090909090909092
55,2.0,1,5,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,20.0,6,0,1100.0,1650.0,550.0,-550.0,50.0,-50.0
136,2.0,2,4,0,1,1,1,0,0,0, San Blas , Rosas ,1071,1051,5,8.823529411764708,1,0,1200.0,1145.0,55.0,55.0,4.583333333333333,4.583333333333333
30,1.0,1,0,0,0,0,1,0,0,0, Arganzuela , Palos de Moguer ,1094,1075,0,26.33333333333333,6,0,790.0,870.0,80.0,-80.0,10.126582278481013,-10.126582278481013
82,2.0,1,2,0,1,1,1,0,0,1, Moncloa , Aravaca ,2151,2367,5,17.073170731707318,4,0,1400.0,1082.5,317.5,317.5,22.678571428571427,22.678571428571427
214,4.0,4,1,0,1,1,1,1,1,1, Moncloa , Valdemarín ,2151,2975,9,14.953271028037387,4,0,3200.0,2150.0,1050.0,1050.0,32.8125,32.8125
55,2.0,1,0,0,0,0,1,0,0,0, Tetuán , Berruguete ,1190,935,1,12.545454545454545,5,0,690.0,1000.0,310.0,-310.0,44.927536231884055,-44.927536231884055
110,2.0,2,2,0,1,0,1,0,1,0, Centro , Sol ,1355,1312,3,13.181818181818182,6,0,1450.0,1450.0,0.0,0.0,0.0,0.0
60,2.0,2,0,0,1,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,3,30.0,7,0,1800.0,1175.0,625.0,625.0,34.72222222222222,34.72222222222222
90,2.0,2,3,1,1,1,1,0,0,0, Ciudad Lineal , Colina ,1263,1193,5,14.388888888888891,4,0,1295.0,2000.0,705.0,-705.0,54.44015444015444,-54.44015444015444
70,1.0,1,0,1,0,1,0,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,15.714285714285715,7,0,1100.0,1115.0,15.0,-15.0,1.3636363636363635,-1.3636363636363635
110,1.0,2,2,0,1,1,1,0,0,0, San Blas , Rejas ,1071,968,2,11.727272727272727,2,0,1290.0,800.0,490.0,490.0,37.98449612403101,37.98449612403101
61,1.0,1,0,0,1,1,1,0,0,0, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,3,19.672131147540984,6,0,1200.0,1120.0,80.0,80.0,6.666666666666667,6.666666666666667
42,1.0,1,0,0,1,0,0,1,0,0, Retiro , Pacífico ,1790,1185,3,19.047619047619047,5,0,800.0,825.0,25.0,-25.0,3.125,-3.125
70,2.0,1,3,0,1,1,1,0,1,0, Centro , Sol ,1355,1312,4,20.0,6,0,1400.0,1150.0,250.0,250.0,17.857142857142858,17.857142857142858
65,1.0,1,2,0,1,0,1,1,0,0, San Blas , Simancas ,1071,948,3,13.076923076923075,2,0,850.0,1125.0,275.0,-275.0,32.35294117647059,-32.35294117647059
49,1.0,1,1,0,1,1,1,0,0,0, Centro , Chueca-Justicia ,1355,1709,2,43.24489795918368,8,0,2119.0,2175.0,56.0,-56.0,2.642756016989146,-2.642756016989146
75,2.0,1,1,0,1,1,1,0,1,0, Barrio de Salamanca , Guindalera ,2079,1349,4,18.666666666666668,6,0,1400.0,1900.0,500.0,-500.0,35.714285714285715,-35.714285714285715
70,2.0,1,3,0,1,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,17.142857142857142,6,0,1200.0,940.0,260.0,260.0,21.666666666666668,21.666666666666668
70,2.0,1,5,0,1,1,0,0,0,1, Centro , Chueca-Justicia ,1355,1709,4,19.285714285714285,8,0,1350.0,925.0,425.0,425.0,31.48148148148148,31.48148148148148
70,2.0,1,3,1,0,1,1,1,0,0, Tetuán , Ventilla-Almenara ,1190,1189,4,15.714285714285715,5,0,1100.0,1499.5,399.5,-399.5,36.31818181818182,-36.31818181818182
56,2.0,1,2,0,1,1,1,0,1,0, Chamberí , Almagro ,1671,2327,3,20.535714285714285,8,0,1150.0,1150.0,0.0,0.0,0.0,0.0
50,1.0,1,1,0,1,0,1,1,0,0, Chamartín , Nueva España ,1950,2310,2,26.0,6,0,1300.0,820.0,480.0,480.0,36.92307692307692,36.92307692307692
187,3.0,3,4,0,1,1,1,0,0,0, Ciudad Lineal , Atalaya ,1263,2491,5,14.97326203208556,3,0,2800.0,1500.0,1300.0,1300.0,46.42857142857143,46.42857142857143
55,1.0,1,1,0,1,1,1,0,0,0, Carabanchel , Abrantes ,892,838,3,14.545454545454545,1,0,800.0,1145.0,345.0,-345.0,43.125,-43.125
78,2.0,2,1,1,1,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,3,16.53846153846154,6,0,1290.0,1550.0,260.0,-260.0,20.155038759689923,-20.155038759689923
50,1.0,1,1,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,27.0,6,0,1350.0,1162.5,187.5,187.5,13.88888888888889,13.88888888888889
96,2.0,2,4,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.625,6,0,1500.0,1900.0,400.0,-400.0,26.666666666666668,-26.666666666666668
40,2.0,1,0,0,0,1,1,0,0,0, Barrio de Salamanca , Goya ,2079,1759,2,28.75,7,0,1150.0,1075.0,75.0,75.0,6.521739130434782,6.521739130434782
46,2.0,2,0,0,1,0,0,0,0,0, Chamberí , Nuevos Ministerios-Ríos Rosas ,1671,1581,2,28.15217391304348,6,0,1295.0,920.0,375.0,375.0,28.957528957528957,28.957528957528957
50,1.0,1,6,0,1,0,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,1,26.0,8,0,1300.0,925.0,375.0,375.0,28.846153846153847,28.846153846153847
50,1.0,1,4,0,0,0,0,0,0,0, Chamberí , Arapiles ,1671,1325,1,18.0,7,0,900.0,1050.0,150.0,-150.0,16.666666666666668,-16.666666666666668
35,1.0,1,0,0,0,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,2,21.285714285714285,7,0,745.0,900.0,155.0,-155.0,20.80536912751678,-20.80536912751678
95,2.0,2,1,0,1,1,0,0,0,0, Retiro , Ibiza ,1790,1462,3,17.368421052631582,7,0,1650.0,1075.0,575.0,575.0,34.84848484848485,34.84848484848485
78,2.0,1,4,0,0,1,0,0,0,0, Retiro , Ibiza ,1790,1462,3,17.94871794871795,7,0,1400.0,1400.0,0.0,0.0,0.0,0.0
78,2.0,1,1,0,0,0,1,1,0,0, Fuencarral , Pilar ,1744,996,3,14.1025641025641,4,0,1100.0,750.0,350.0,350.0,31.818181818181817,31.818181818181817
70,2.0,1,3,0,1,1,1,0,0,0, Chamartín , El Viso ,1950,3136,3,16.428571428571427,7,0,1150.0,1397.5,247.5,-247.5,21.52173913043478,-21.52173913043478
85,2.0,1,4,1,0,0,1,0,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,1,14.117647058823529,6,0,1200.0,880.0,320.0,320.0,26.666666666666668,26.666666666666668
156,4.0,3,2,0,1,1,1,0,0,1, San Blas , Simancas ,1071,948,5,11.538461538461537,2,0,1800.0,1850.0,50.0,-50.0,2.7777777777777777,-2.7777777777777777
100,3.0,1,1,1,0,1,0,0,0,0, Moncloa , Argüelles ,2151,1727,2,12.5,6,0,1250.0,1275.0,25.0,-25.0,2.0,-2.0
120,2.0,2,4,0,1,1,0,0,0,0, Centro , Huertas-Cortes ,1355,1450,3,9.166666666666666,7,0,1100.0,1225.0,125.0,-125.0,11.363636363636363,-11.363636363636363
160,3.0,2,3,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,15.625,6,0,2500.0,1975.0,525.0,525.0,21.0,21.0
40,1.0,1,2,0,0,0,0,0,0,0, Centro , Malasaña-Universidad ,1355,1313,0,16.25,7,0,650.0,925.0,275.0,-275.0,42.30769230769231,-42.30769230769231
95,2.0,2,3,0,1,1,1,0,0,0, Tetuán , Valdeacederas ,1190,934,4,12.63157894736842,5,0,1200.0,1385.0,185.0,-185.0,15.416666666666666,-15.416666666666666
50,1.0,1,1,0,1,1,1,0,0,0, San Blas , Simancas ,1071,948,4,16.0,2,0,800.0,1100.0,300.0,-300.0,37.5,-37.5
45,1.0,1,3,0,0,1,1,0,0,0, Chamartín , Castilla ,1950,1451,2,16.666666666666668,5,0,750.0,800.0,50.0,-50.0,6.666666666666667,-6.666666666666667
90,3.0,2,4,1,1,1,1,1,0,0, Arganzuela , Palos de Moguer ,1094,1075,4,17.777777777777782,6,0,1600.0,1847.5,247.5,-247.5,15.46875,-15.46875
80,2.0,2,6,0,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,42.1875,7,0,3375.0,2512.5,862.5,862.5,25.555555555555557,25.555555555555557
50,1.0,1,3,0,1,1,0,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,23.0,6,0,1150.0,1025.0,125.0,125.0,10.869565217391305,10.869565217391305
30,1.0,1,3,0,1,0,1,0,0,0, Centro , Sol ,1355,1312,2,26.66666666666667,6,0,800.0,572.5,227.5,227.5,28.4375,28.4375
140,4.0,2,2,1,0,1,1,1,1,0, Retiro , Ibiza ,1790,1462,5,14.285714285714285,7,0,2000.0,2050.0,50.0,-50.0,2.5,-2.5
75,2.0,1,3,1,0,1,0,1,0,0, Latina , Aluche ,992,920,3,10.666666666666666,1,0,800.0,750.0,50.0,50.0,6.25,6.25
75,1.0,2,6,0,1,1,1,1,0,0, Chamberí , Trafalgar ,1671,1474,7,20.0,7,0,1500.0,1150.0,350.0,350.0,23.333333333333332,23.333333333333332
200,3.0,3,6,0,1,1,1,0,0,0, Barrio de Salamanca , Recoletos ,2079,2933,3,16.0,8,0,3200.0,3650.0,450.0,-450.0,14.0625,-14.0625
46,2.0,1,2,0,0,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,18.456521739130434,6,0,849.0,870.0,21.0,-21.0,2.4734982332155475,-2.4734982332155475
80,3.0,1,3,0,0,1,0,0,0,0, Chamberí , Gaztambide ,1671,1448,2,18.75,6,0,1500.0,1100.0,400.0,400.0,26.666666666666668,26.666666666666668
84,2.0,1,5,1,0,1,1,0,0,0, Retiro , Niño Jesús ,1790,2269,3,17.857142857142858,6,0,1500.0,1350.0,150.0,150.0,10.0,10.0
80,1.0,1,3,0,1,1,1,1,1,0, Centro , Sol ,1355,1312,5,14.375,6,0,1150.0,1300.0,150.0,-150.0,13.043478260869565,-13.043478260869565
45,2.0,1,1,0,0,1,1,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,19.444444444444443,6,0,875.0,1225.0,350.0,-350.0,40.0,-40.0
130,2.0,1,7,0,1,1,1,1,1,0, Barrio de Salamanca , Fuente del Berro ,2079,1181,5,13.461538461538463,5,0,1750.0,2250.0,500.0,-500.0,28.571428571428573,-28.571428571428573
35,1.0,1,2,1,0,1,0,0,0,0, Tetuán , Valdeacederas ,1190,934,3,18.571428571428573,5,0,650.0,740.0,90.0,-90.0,13.846153846153847,-13.846153846153847
42,1.0,1,1,0,0,1,0,0,0,1, Centro , Huertas-Cortes ,1355,1450,3,28.57142857142857,7,0,1200.0,997.5,202.5,202.5,16.875,16.875
42,1.0,1,3,1,1,1,1,1,0,0, Centro , Malasaña-Universidad ,1355,1313,5,37.976190476190474,7,0,1595.0,1175.0,420.0,420.0,26.33228840125392,26.33228840125392
60,1.0,1,5,0,1,1,1,0,1,0, Barrio de Salamanca , Lista ,2079,1715,4,20.0,7,0,1200.0,1225.0,25.0,-25.0,2.0833333333333335,-2.0833333333333335
70,2.0,2,2,0,1,1,1,0,1,0, Centro , Huertas-Cortes ,1355,1450,4,19.857142857142858,7,0,1390.0,1850.0,460.0,-460.0,33.093525179856115,-33.093525179856115
88,2.0,2,2,0,0,0,1,0,1,1, Centro , Huertas-Cortes ,1355,1450,2,15.340909090909092,7,0,1350.0,940.0,410.0,410.0,30.37037037037037,30.37037037037037
120,5.0,2,5,0,0,0,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,1,20.0,8,0,2400.0,2050.0,350.0,350.0,14.583333333333334,14.583333333333334
154,3.0,2,4,0,0,1,1,0,1,1, Moncloa , Argüelles ,2151,1727,5,12.662337662337663,6,0,1950.0,2350.0,400.0,-400.0,20.512820512820515,-20.512820512820515
59,1.0,1,1,0,1,1,1,0,0,1, Hortaleza , Conde Orgaz-Piovera ,2693,4039,5,20.508474576271187,5,0,1210.0,1145.0,65.0,65.0,5.371900826446281,5.371900826446281
155,4.0,4,3,0,1,1,1,0,0,1, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,5,20.0,6,0,3100.0,1612.5,1487.5,1487.5,47.983870967741936,47.983870967741936
81,1.0,1,2,0,0,1,1,0,1,0, Centro , Palacio ,1355,1370,3,11.728395061728394,6,0,950.0,1100.0,150.0,-150.0,15.789473684210526,-15.789473684210526
75,3.0,2,3,0,0,1,1,0,1,0, Chamberí , Gaztambide ,1671,1448,3,21.33333333333333,6,0,1600.0,1275.0,325.0,325.0,20.3125,20.3125
65,1.0,2,3,0,1,1,1,0,1,0, Centro , Chueca-Justicia ,1355,1709,5,22.30769230769231,8,0,1450.0,1400.0,50.0,50.0,3.4482758620689653,3.4482758620689653
30,0.0,1,5,0,0,0,1,0,0,1, Centro , Lavapiés-Embajadores ,1355,1106,2,21.66666666666667,6,0,650.0,780.0,130.0,-130.0,20.0,-20.0
80,3.0,1,9,1,1,0,1,0,0,0, Latina , Águilas ,992,800,3,10.625,1,0,850.0,1115.0,265.0,-265.0,31.176470588235293,-31.176470588235293
110,4.0,2,3,1,0,1,0,0,0,0, Chamberí , Arapiles ,1671,1325,2,19.545454545454547,7,0,2150.0,2300.0,150.0,-150.0,6.976744186046512,-6.976744186046512
150,4.0,3,3,1,1,1,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,3,16.666666666666668,8,0,2500.0,4250.0,1750.0,-1750.0,70.0,-70.0
81,2.0,1,2,0,1,0,1,0,0,0, Tetuán , Ventilla-Almenara ,1190,1189,3,12.345679012345679,5,0,1000.0,962.5,37.5,37.5,3.75,3.75
50,1.0,1,6,0,1,1,0,0,0,0, Barrio de Salamanca , Recoletos ,2079,2933,2,25.0,8,0,1250.0,1350.0,100.0,-100.0,8.0,-8.0
83,4.0,1,5,0,0,1,1,0,1,0, Centro , Lavapiés-Embajadores ,1355,1106,2,20.48192771084337,6,0,1700.0,1050.0,650.0,650.0,38.23529411764706,38.23529411764706
70,2.0,2,3,0,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,23.57142857142857,7,0,1650.0,3172.5,1522.5,-1522.5,92.27272727272727,-92.27272727272727
150,3.0,3,2,0,1,1,1,0,1,0, Barrio de Salamanca , Castellana ,2079,2512,4,23.33333333333333,8,0,3500.0,3200.0,300.0,300.0,8.571428571428571,8.571428571428571
85,3.0,1,5,1,1,0,1,0,1,0, Barrio de Salamanca , Fuente del Berro ,2079,1181,3,17.647058823529417,5,0,1500.0,1600.0,100.0,-100.0,6.666666666666667,-6.666666666666667
80,1.0,1,1,0,1,1,0,1,1,0, Centro , Lavapiés-Embajadores ,1355,1106,6,13.75,6,0,1100.0,1950.0,850.0,-850.0,77.27272727272727,-77.27272727272727
47,2.0,1,5,0,0,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,0,25.53191489361702,7,0,1200.0,1000.0,200.0,200.0,16.666666666666668,16.666666666666668
140,3.0,2,1,0,1,1,1,0,1,1, Moncloa , Argüelles ,2151,1727,5,14.285714285714285,6,0,2000.0,2400.0,400.0,-400.0,20.0,-20.0
32,1.0,1,1,0,1,0,1,0,0,0, Arganzuela , Palos de Moguer ,1094,1075,1,26.5625,6,0,850.0,1107.5,257.5,-257.5,30.294117647058822,-30.294117647058822
80,2.0,1,6,0,1,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,3,20.625,6,0,1650.0,1150.0,500.0,500.0,30.303030303030305,30.303030303030305
