sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price,predictions_lgb,residuals_lgb_abs,residuals_lgb,resid_percent_lgb,resid_percent_lgb_abs
130,3.0,2,8,0,1,1,1,1,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,5,26.923076923076927,6,0,3500.0,1853.1467034781674,1646.8532965218326,1646.8532965218326,47.05295132919522,47.05295132919522
40,1.0,1,3,0,0,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,21.25,6,0,850.0,764.0551648931067,85.94483510689327,85.94483510689327,10.111157071399207,10.111157071399207
69,1.0,1,2,1,1,1,1,1,0,0, Chamartín , Nueva España ,1950,2310,6,20.28985507246377,6,0,1400.0,1457.570542037468,57.57054203746793,-57.57054203746793,-4.112181574104852,4.112181574104852
70,2.0,1,6,0,1,1,1,0,0,0, Moncloa , Valdezarza ,2151,1239,3,12.142857142857142,4,0,850.0,991.4852206322249,141.48522063222492,-141.48522063222492,-16.645320074379402,16.645320074379402
30,1.0,1,4,0,0,0,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,26.66666666666667,6,0,800.0,801.4420779646655,1.4420779646654864,-1.4420779646654864,-0.1802597455831858,0.1802597455831858
62,1.0,1,2,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,13.225806451612904,2,0,820.0,758.6753711483678,61.324628851632156,61.324628851632156,7.478613274589287,7.478613274589287
74,2.0,2,4,0,1,1,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,2,22.297297297297302,7,0,1650.0,1799.6278347422522,149.62783474225216,-149.62783474225216,-9.068353620742556,9.068353620742556
254,4.0,3,5,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,11.417322834645667,6,0,2900.0,2611.2108258233725,288.7891741766275,288.7891741766275,9.958247385400949,9.958247385400949
46,1.0,1,2,1,1,1,1,0,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,5,20.65217391304348,6,0,950.0,1109.6595307675498,159.65953076754977,-159.65953076754977,-16.806266396584185,16.806266396584185
109,2.0,1,1,0,0,1,1,0,1,1, Centro , Palacio ,1355,1370,4,15.596330275229356,6,0,1700.0,1459.1559928820782,240.84400711792182,240.84400711792182,14.167294536348344,14.167294536348344
50,1.0,1,3,0,0,1,0,0,0,0, Centro , Palacio ,1355,1370,1,17.4,6,0,870.0,990.9965214411438,120.99652144114384,-120.99652144114384,-13.907646142660212,13.907646142660212
75,3.0,1,3,0,0,1,1,1,0,0, Barrio de Salamanca , Guindalera ,2079,1349,3,16.0,6,0,1200.0,1208.8234273832288,8.823427383228818,-8.823427383228818,-0.7352856152690682,0.7352856152690682
50,1.0,1,1,0,1,1,1,1,0,0, Chamberí , Arapiles ,1671,1325,5,23.0,7,0,1150.0,1057.819707963598,92.18029203640208,92.18029203640208,8.01567756838279,8.01567756838279
35,0.0,1,5,1,1,1,1,1,1,0, Barrio de Salamanca , Guindalera ,2079,1349,6,24.285714285714285,6,0,850.0,1049.9005162624326,199.90051626243257,-199.90051626243257,-23.517707795580304,23.517707795580304
67,3.0,1,3,0,0,0,1,1,0,0, Latina , Águilas ,992,800,2,11.940298507462687,1,0,800.0,779.6604836656187,20.3395163343813,20.3395163343813,2.5424395417976626,2.5424395417976626
85,1.0,1,5,0,1,1,1,1,0,0, Centro , Palacio ,1355,1370,5,15.294117647058822,6,0,1300.0,1527.7592924693681,227.75929246936812,-227.75929246936812,-17.51994557456678,17.51994557456678
90,1.0,1,2,0,1,1,1,0,0,0, Chamberí , Almagro ,1671,2327,4,16.666666666666668,8,0,1500.0,1806.9821831659315,306.9821831659315,-306.9821831659315,-20.465478877728767,20.465478877728767
73,2.0,1,1,0,0,1,1,1,1,0, Moncloa , Aravaca ,2151,2367,4,13.698630136986301,4,0,1000.0,988.6492763535713,11.350723646428719,11.350723646428719,1.135072364642872,1.135072364642872
33,1.0,1,1,0,0,0,0,0,0,0, Arganzuela , Delicias ,1094,1116,1,24.24242424242424,5,0,800.0,655.098776670765,144.901223329235,144.901223329235,18.112652916154374,18.112652916154374
150,4.0,3,8,1,1,1,1,0,0,1, Chamberí , Gaztambide ,1671,1448,5,14.0,6,0,2100.0,2084.176164946506,15.823835053493895,15.823835053493895,0.7535159549282807,0.7535159549282807
50,2.0,1,0,1,0,0,0,0,0,0, Moncloa , Casa de Campo ,2151,1288,1,15.0,4,0,750.0,760.932255325063,10.93225532506301,-10.93225532506301,-1.4576340433417347,1.4576340433417347
20,1.0,1,3,0,1,1,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,32.5,6,0,650.0,818.9928094482433,168.9928094482433,-168.9928094482433,-25.998893761268196,25.998893761268196
55,2.0,1,3,0,1,1,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.454545454545455,6,0,850.0,928.0020399912611,78.00203999126109,-78.00203999126109,-9.176710587207186,9.176710587207186
44,2.0,1,5,0,0,1,0,0,0,0, Retiro , Ibiza ,1790,1462,2,19.318181818181817,7,0,850.0,980.1148253267382,130.11482532673824,-130.11482532673824,-15.30762650902803,15.30762650902803
45,1.0,1,5,1,1,1,0,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,5,22.222222222222218,8,0,1000.0,921.9034778680195,78.09652213198046,78.09652213198046,7.809652213198047,7.809652213198047
55,2.0,1,1,0,0,0,1,0,0,0, Centro , Chueca-Justicia ,1355,1709,1,16.272727272727273,8,0,895.0,1090.593863241981,195.5938632419809,-195.5938632419809,-21.854062932064906,21.854062932064906
57,1.0,1,0,0,1,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,3,20.17543859649123,7,0,1150.0,1056.5627548712137,93.43724512878634,93.43724512878634,8.124977837285769,8.124977837285769
50,2.0,1,1,0,0,1,1,0,0,0, Carabanchel , Opañel ,892,885,2,17.0,4,0,850.0,862.539627023273,12.539627023273056,-12.539627023273056,-1.4752502380321242,1.4752502380321242
40,1.0,1,2,1,0,1,1,0,0,0, Chamberí , Gaztambide ,1671,1448,2,21.25,6,0,850.0,958.2744840103077,108.27448401030767,-108.27448401030767,-12.738174589447961,12.738174589447961
110,2.0,2,5,0,1,1,0,0,0,0, Centro , Palacio ,1355,1370,3,14.536363636363635,6,0,1599.0,1738.0118196352114,139.0118196352114,-139.0118196352114,-8.693672272370945,8.693672272370945
70,2.0,2,4,1,1,1,0,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,3,17.142857142857142,8,0,1200.0,1943.212545246491,743.2125452464909,-743.2125452464909,-61.93437877054091,61.93437877054091
120,3.0,2,5,0,1,1,1,1,1,1, San Blas , Rejas ,1071,968,9,11.25,2,0,1350.0,1323.8624129863135,26.13758701368647,26.13758701368647,1.9361175565693682,1.9361175565693682
85,2.0,2,3,0,1,0,1,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,1,15.294117647058822,6,0,1300.0,1416.6969002280525,116.69690022805253,-116.69690022805253,-8.976684632927117,8.976684632927117
108,2.0,2,9,0,0,1,1,0,0,0, Chamartín , Castilla ,1950,1451,3,11.111111111111109,5,0,1200.0,1514.673304013584,314.6733040135839,-314.6733040135839,-26.222775334465325,26.222775334465325
105,2.0,2,1,0,1,1,1,0,1,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.238095238095234,6,0,1600.0,1673.0744060424183,73.07440604241833,-73.07440604241833,-4.567150377651146,4.567150377651146
60,2.0,1,7,0,1,1,1,0,0,0, San Blas , Simancas ,1071,948,2,12.166666666666664,2,0,730.0,848.6201151337697,118.62011513376967,-118.62011513376967,-16.249330840242422,16.249330840242422
90,2.0,1,3,0,0,1,0,0,0,0, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,2,12.777777777777779,6,0,1150.0,1373.1292290871581,223.12922908715814,-223.12922908715814,-19.40254165975288,19.40254165975288
80,2.0,2,4,0,1,1,1,0,0,1, Barajas , Timón ,1082,966,5,12.5,2,0,1000.0,1060.6019514254183,60.60195142541829,-60.60195142541829,-6.060195142541829,6.060195142541829
69,2.0,1,8,1,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,4,26.08695652173913,7,0,1800.0,1504.7111304238251,295.2888695761749,295.2888695761749,16.404937198676382,16.404937198676382
32,2.0,1,4,0,0,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,25.0,6,0,800.0,877.2870127161214,77.28701271612135,-77.28701271612135,-9.66087658951517,9.66087658951517
95,3.0,2,3,1,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,16.842105263157894,7,0,1600.0,1569.2855656732154,30.714434326784612,30.714434326784612,1.9196521454240383,1.9196521454240383
50,1.0,1,4,0,0,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,15.8,7,0,790.0,973.2870716681443,183.28707166814434,-183.28707166814434,-23.200895147866373,23.200895147866373
89,2.0,2,3,0,1,1,1,0,0,0, Puente de Vallecas , Palomeras Bajas ,775,825,3,9.550561797752811,2,0,850.0,1020.9952020339424,170.9952020339424,-170.9952020339424,-20.117082592228517,20.117082592228517
100,3.0,2,2,1,1,0,0,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,17.39,6,0,1739.0,1594.4250551349282,144.57494486507176,144.57494486507176,8.313682855955824,8.313682855955824
61,1.0,1,0,0,0,1,1,0,0,0, Centro , Palacio ,1355,1370,2,15.573770491803279,6,0,950.0,938.8745742778789,11.125425722121122,11.125425722121122,1.1710974444338023,1.1710974444338023
170,4.0,2,4,1,1,1,1,1,0,0, Chamartín , Nueva España ,1950,2310,4,12.941176470588234,6,0,2200.0,2887.107917907829,687.1079179078288,-687.1079179078288,-31.232178086719493,31.232178086719493
55,2.0,1,5,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,20.0,6,0,1100.0,1156.6969033719497,56.6969033719497,-56.6969033719497,-5.154263942904518,5.154263942904518
136,2.0,2,4,0,1,1,1,0,0,0, San Blas , Rosas ,1071,1051,5,8.823529411764708,1,0,1200.0,1322.4320292668492,122.43202926684921,-122.43202926684921,-10.202669105570767,10.202669105570767
30,1.0,1,0,0,0,0,1,0,0,0, Arganzuela , Palos de Moguer ,1094,1075,0,26.33333333333333,6,0,790.0,838.7884139816217,48.788413981621716,-48.788413981621716,-6.175748605268572,6.175748605268572
82,2.0,1,2,0,1,1,1,0,0,1, Moncloa , Aravaca ,2151,2367,5,17.073170731707318,4,0,1400.0,1199.7392530762904,200.26074692370958,200.26074692370958,14.304339065979256,14.304339065979256
214,4.0,4,1,0,1,1,1,1,1,1, Moncloa , Valdemarín ,2151,2975,9,14.953271028037387,4,0,3200.0,2812.4772785189753,387.52272148102475,387.52272148102475,12.110085046282025,12.110085046282025
55,2.0,1,0,0,0,0,1,0,0,0, Tetuán , Berruguete ,1190,935,1,12.545454545454545,5,0,690.0,813.7676297086921,123.76762970869208,-123.76762970869208,-17.937337638940882,17.937337638940882
110,2.0,2,2,0,1,0,1,0,1,0, Centro , Sol ,1355,1312,3,13.181818181818182,6,0,1450.0,1590.8789814106733,140.8789814106733,-140.8789814106733,-9.715791821425745,9.715791821425745
60,2.0,2,0,0,1,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,3,30.0,7,0,1800.0,1343.8117199912404,456.18828000875965,456.18828000875965,25.343793333819978,25.343793333819978
90,2.0,2,3,1,1,1,1,0,0,0, Ciudad Lineal , Colina ,1263,1193,5,14.388888888888891,4,0,1295.0,1312.789846841341,17.789846841340932,-17.789846841340932,-1.3737333468216937,1.3737333468216937
70,1.0,1,0,1,0,1,0,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,15.714285714285715,7,0,1100.0,1060.213350985593,39.786649014406976,39.786649014406976,3.616968092218816,3.616968092218816
110,1.0,2,2,0,1,1,1,0,0,0, San Blas , Rejas ,1071,968,2,11.727272727272727,2,0,1290.0,1108.4899257254317,181.5100742745683,181.5100742745683,14.070548393377386,14.070548393377386
61,1.0,1,0,0,1,1,1,0,0,0, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,3,19.672131147540984,6,0,1200.0,1043.2464952608627,156.75350473913727,156.75350473913727,13.062792061594774,13.062792061594774
42,1.0,1,0,0,1,0,0,1,0,0, Retiro , Pacífico ,1790,1185,3,19.047619047619047,5,0,800.0,866.4295451972043,66.42954519720433,-66.42954519720433,-8.303693149650542,8.303693149650542
70,2.0,1,3,0,1,1,1,0,1,0, Centro , Sol ,1355,1312,4,20.0,6,0,1400.0,1202.2793629695932,197.7206370304068,197.7206370304068,14.122902645029058,14.122902645029058
65,1.0,1,2,0,1,0,1,1,0,0, San Blas , Simancas ,1071,948,3,13.076923076923075,2,0,850.0,837.6873877436309,12.312612256369107,12.312612256369107,1.4485426183963654,1.4485426183963654
49,1.0,1,1,0,1,1,1,0,0,0, Centro , Chueca-Justicia ,1355,1709,2,43.24489795918368,8,0,2119.0,1542.642863091929,576.357136908071,576.357136908071,27.199487348186455,27.199487348186455
75,2.0,1,1,0,1,1,1,0,1,0, Barrio de Salamanca , Guindalera ,2079,1349,4,18.666666666666668,6,0,1400.0,1345.520371900034,54.47962809996602,54.47962809996602,3.8914020071404303,3.8914020071404303
70,2.0,1,3,0,1,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,17.142857142857142,6,0,1200.0,1033.9198036181965,166.0801963818035,166.0801963818035,13.840016365150289,13.840016365150289
70,2.0,1,5,0,1,1,0,0,0,1, Centro , Chueca-Justicia ,1355,1709,4,19.285714285714285,8,0,1350.0,1406.4771042185632,56.47710421856323,-56.47710421856323,-4.183489201375054,4.183489201375054
70,2.0,1,3,1,0,1,1,1,0,0, Tetuán , Ventilla-Almenara ,1190,1189,4,15.714285714285715,5,0,1100.0,1169.055267486503,69.055267486503,-69.055267486503,-6.277751589682091,6.277751589682091
56,2.0,1,2,0,1,1,1,0,1,0, Chamberí , Almagro ,1671,2327,3,20.535714285714285,8,0,1150.0,1488.8456317560278,338.84563175602784,-338.84563175602784,-29.464837544002425,29.464837544002425
50,1.0,1,1,0,1,0,1,1,0,0, Chamartín , Nueva España ,1950,2310,2,26.0,6,0,1300.0,1215.9415381838699,84.05846181613015,84.05846181613015,6.466035524317704,6.466035524317704
187,3.0,3,4,0,1,1,1,0,0,0, Ciudad Lineal , Atalaya ,1263,2491,5,14.97326203208556,3,0,2800.0,2439.854588547885,360.1454114521148,360.1454114521148,12.862336123289813,12.862336123289813
55,1.0,1,1,0,1,1,1,0,0,0, Carabanchel , Abrantes ,892,838,3,14.545454545454545,1,0,800.0,720.538227447948,79.46177255205203,79.46177255205203,9.932721569006503,9.932721569006503
78,2.0,2,1,1,1,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,3,16.53846153846154,6,0,1290.0,1879.0364753621745,589.0364753621745,-589.0364753621745,-45.66174227613756,45.66174227613756
50,1.0,1,1,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,27.0,6,0,1350.0,1092.1200179954346,257.87998200456536,257.87998200456536,19.102220889227063,19.102220889227063
96,2.0,2,4,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.625,6,0,1500.0,1589.2076507811719,89.20765078117188,-89.20765078117188,-5.9471767187447915,5.9471767187447915
40,2.0,1,0,0,0,1,1,0,0,0, Barrio de Salamanca , Goya ,2079,1759,2,28.75,7,0,1150.0,958.2246619848136,191.77533801518643,191.77533801518643,16.676116349146646,16.676116349146646
46,2.0,2,0,0,1,0,0,0,0,0, Chamberí , Nuevos Ministerios-Ríos Rosas ,1671,1581,2,28.15217391304348,6,0,1295.0,1220.1741047827516,74.82589521724844,74.82589521724844,5.778061406737332,5.778061406737332
50,1.0,1,6,0,1,0,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,1,26.0,8,0,1300.0,1395.240132695273,95.2401326952729,-95.2401326952729,-7.326164053482532,7.326164053482532
50,1.0,1,4,0,0,0,0,0,0,0, Chamberí , Arapiles ,1671,1325,1,18.0,7,0,900.0,1009.742984874956,109.74298487495605,-109.74298487495605,-12.193664986106228,12.193664986106228
35,1.0,1,0,0,0,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,2,21.285714285714285,7,0,745.0,795.4553915279646,50.45539152796459,-50.45539152796459,-6.772535775565717,6.772535775565717
95,2.0,2,1,0,1,1,0,0,0,0, Retiro , Ibiza ,1790,1462,3,17.368421052631582,7,0,1650.0,1573.3508701744609,76.64912982553915,76.64912982553915,4.645401807608433,4.645401807608433
78,2.0,1,4,0,0,1,0,0,0,0, Retiro , Ibiza ,1790,1462,3,17.94871794871795,7,0,1400.0,1311.9713093078806,88.02869069211943,88.02869069211943,6.287763620865673,6.287763620865673
78,2.0,1,1,0,0,0,1,1,0,0, Fuencarral , Pilar ,1744,996,3,14.1025641025641,4,0,1100.0,1021.6963703201026,78.30362967989743,78.30362967989743,7.118511789081584,7.118511789081584
70,2.0,1,3,0,1,1,1,0,0,0, Chamartín , El Viso ,1950,3136,3,16.428571428571427,7,0,1150.0,1495.8209051203926,345.8209051203926,-345.8209051203926,-30.07138305394718,30.07138305394718
85,2.0,1,4,1,0,0,1,0,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,1,14.117647058823529,6,0,1200.0,1126.067158478568,73.93284152143201,73.93284152143201,6.161070126786001,6.161070126786001
156,4.0,3,2,0,1,1,1,0,0,1, San Blas , Simancas ,1071,948,5,11.538461538461537,2,0,1800.0,1753.2599458588331,46.740054141166866,46.740054141166866,2.59666967450927,2.59666967450927
100,3.0,1,1,1,0,1,0,0,0,0, Moncloa , Argüelles ,2151,1727,2,12.5,6,0,1250.0,1416.966070836841,166.96607083684103,-166.96607083684103,-13.357285666947282,13.357285666947282
120,2.0,2,4,0,1,1,0,0,0,0, Centro , Huertas-Cortes ,1355,1450,3,9.166666666666666,7,0,1100.0,1777.977623628438,677.9776236284381,-677.9776236284381,-61.6343294207671,61.6343294207671
160,3.0,2,3,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,15.625,6,0,2500.0,2578.9623075354434,78.96230753544341,-78.96230753544341,-3.1584923014177364,3.1584923014177364
40,1.0,1,2,0,0,0,0,0,0,0, Centro , Malasaña-Universidad ,1355,1313,0,16.25,7,0,650.0,800.6883202619391,150.6883202619391,-150.6883202619391,-23.18281850183679,23.18281850183679
95,2.0,2,3,0,1,1,1,0,0,0, Tetuán , Valdeacederas ,1190,934,4,12.63157894736842,5,0,1200.0,1270.070793223156,70.07079322315599,-70.07079322315599,-5.839232768596332,5.839232768596332
50,1.0,1,1,0,1,1,1,0,0,0, San Blas , Simancas ,1071,948,4,16.0,2,0,800.0,801.3476942728049,1.3476942728049153,-1.3476942728049153,-0.1684617841006144,0.1684617841006144
45,1.0,1,3,0,0,1,1,0,0,0, Chamartín , Castilla ,1950,1451,2,16.666666666666668,5,0,750.0,739.5264856948845,10.473514305115486,10.473514305115486,1.3964685740153981,1.3964685740153981
90,3.0,2,4,1,1,1,1,1,0,0, Arganzuela , Palos de Moguer ,1094,1075,4,17.777777777777782,6,0,1600.0,1615.2710576716097,15.271057671609697,-15.271057671609697,-0.954441104475606,0.954441104475606
80,2.0,2,6,0,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,42.1875,7,0,3375.0,2565.6566487795785,809.3433512204215,809.3433512204215,23.98054373986434,23.98054373986434
50,1.0,1,3,0,1,1,0,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,23.0,6,0,1150.0,1101.4795385487023,48.520461451297706,48.520461451297706,4.219170560982409,4.219170560982409
30,1.0,1,3,0,1,0,1,0,0,0, Centro , Sol ,1355,1312,2,26.66666666666667,6,0,800.0,813.1341148730257,13.134114873025737,-13.134114873025737,-1.6417643591282172,1.6417643591282172
140,4.0,2,2,1,0,1,1,1,1,0, Retiro , Ibiza ,1790,1462,5,14.285714285714285,7,0,2000.0,1862.668957756517,137.3310422434829,137.3310422434829,6.866552112174145,6.866552112174145
75,2.0,1,3,1,0,1,0,1,0,0, Latina , Aluche ,992,920,3,10.666666666666666,1,0,800.0,819.5574358507781,19.55743585077812,-19.55743585077812,-2.444679481347265,2.444679481347265
75,1.0,2,6,0,1,1,1,1,0,0, Chamberí , Trafalgar ,1671,1474,7,20.0,7,0,1500.0,1478.8337743409752,21.166225659024803,21.166225659024803,1.4110817106016535,1.4110817106016535
200,3.0,3,6,0,1,1,1,0,0,0, Barrio de Salamanca , Recoletos ,2079,2933,3,16.0,8,0,3200.0,3690.462886407539,490.4628864075389,-490.4628864075389,-15.326965200235591,15.326965200235591
46,2.0,1,2,0,0,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,18.456521739130434,6,0,849.0,950.0332110646245,101.03321106462454,-101.03321106462454,-11.90026043164011,11.90026043164011
80,3.0,1,3,0,0,1,0,0,0,0, Chamberí , Gaztambide ,1671,1448,2,18.75,6,0,1500.0,1338.978294265406,161.02170573459398,161.02170573459398,10.734780382306266,10.734780382306266
84,2.0,1,5,1,0,1,1,0,0,0, Retiro , Niño Jesús ,1790,2269,3,17.857142857142858,6,0,1500.0,1251.017133998398,248.9828660016019,248.9828660016019,16.598857733440127,16.598857733440127
80,1.0,1,3,0,1,1,1,1,1,0, Centro , Sol ,1355,1312,5,14.375,6,0,1150.0,1431.5969189980658,281.5969189980658,-281.5969189980658,-24.486688608527462,24.486688608527462
45,2.0,1,1,0,0,1,1,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,19.444444444444443,6,0,875.0,892.4935238347749,17.49352383477492,-17.49352383477492,-1.9992598668314194,1.9992598668314194
130,2.0,1,7,0,1,1,1,1,1,0, Barrio de Salamanca , Fuente del Berro ,2079,1181,5,13.461538461538463,5,0,1750.0,1778.4659431925884,28.465943192588384,-28.465943192588384,-1.6266253252907648,1.6266253252907648
35,1.0,1,2,1,0,1,0,0,0,0, Tetuán , Valdeacederas ,1190,934,3,18.571428571428573,5,0,650.0,799.3598916253428,149.3598916253428,-149.3598916253428,-22.978444865437353,22.978444865437353
42,1.0,1,1,0,0,1,0,0,0,1, Centro , Huertas-Cortes ,1355,1450,3,28.57142857142857,7,0,1200.0,878.6617179709484,321.3382820290516,321.3382820290516,26.778190169087633,26.778190169087633
42,1.0,1,3,1,1,1,1,1,0,0, Centro , Malasaña-Universidad ,1355,1313,5,37.976190476190474,7,0,1595.0,1106.3186452692598,488.68135473074017,488.68135473074017,30.638329450203145,30.638329450203145
60,1.0,1,5,0,1,1,1,0,1,0, Barrio de Salamanca , Lista ,2079,1715,4,20.0,7,0,1200.0,1267.0646982590574,67.06469825905742,-67.06469825905742,-5.588724854921452,5.588724854921452
70,2.0,2,2,0,1,1,1,0,1,0, Centro , Huertas-Cortes ,1355,1450,4,19.857142857142858,7,0,1390.0,1562.314811969772,172.3148119697721,-172.3148119697721,-12.396749062573534,12.396749062573534
88,2.0,2,2,0,0,0,1,0,1,1, Centro , Huertas-Cortes ,1355,1450,2,15.340909090909092,7,0,1350.0,1541.7693464022743,191.76934640227432,-191.76934640227432,-14.205136770538838,14.205136770538838
120,5.0,2,5,0,0,0,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,1,20.0,8,0,2400.0,2123.731395451903,276.26860454809685,276.26860454809685,11.511191856170703,11.511191856170703
