sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price,predictions_tuned_Xgb,residuals_tuned_Xgb_abs,residuals_tuned_Xgb,resid_percent_Xgb,resid_percent_Xgb_abs
50,1.0,1,2,0,1,1,1,0,1,0, Centro , Malasaña-Universidad ,1355,1313,4,19.0,7,0,950.0,1055,105.0,-105.0,-11.052631578947368,11.052631578947368
100,2.0,2,4,0,1,1,1,1,0,0, Centro , Chueca-Justicia ,1355,1709,4,16.0,8,0,1600.0,1882,282.0,-282.0,-17.625,17.625
194,5.0,3,4,1,1,1,1,1,0,0, Barrio de Salamanca , Goya ,2079,1759,5,16.49484536082474,7,0,3200.0,2795,405.0,405.0,12.65625,12.65625
82,2.0,3,0,0,0,1,1,0,0,0, Latina , Puerta del Ángel ,992,1047,2,10.365853658536585,5,0,850.0,1002,152.0,-152.0,-17.88235294117647,17.88235294117647
46,2.0,1,3,0,0,1,1,0,0,0, Fuencarral , Pilar ,1744,996,2,18.47826086956522,4,0,850.0,820,30.0,30.0,3.5294117647058822,3.5294117647058822
130,3.0,2,8,0,1,1,1,1,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,5,26.923076923076927,6,0,3500.0,1827,1673.0,1673.0,47.8,47.8
40,1.0,1,3,0,0,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,21.25,6,0,850.0,796,54.0,54.0,6.352941176470588,6.352941176470588
69,1.0,1,2,1,1,1,1,1,0,0, Chamartín , Nueva España ,1950,2310,6,20.28985507246377,6,0,1400.0,1404,4.0,-4.0,-0.2857142857142857,0.2857142857142857
70,2.0,1,6,0,1,1,1,0,0,0, Moncloa , Valdezarza ,2151,1239,3,12.142857142857142,4,0,850.0,994,144.0,-144.0,-16.941176470588236,16.941176470588236
30,1.0,1,4,0,0,0,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,26.66666666666667,6,0,800.0,697,103.0,103.0,12.875,12.875
62,1.0,1,2,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,13.225806451612904,2,0,820.0,809,11.0,11.0,1.3414634146341464,1.3414634146341464
74,2.0,2,4,0,1,1,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,2,22.297297297297302,7,0,1650.0,1782,132.0,-132.0,-8.0,8.0
254,4.0,3,5,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,11.417322834645667,6,0,2900.0,2788,112.0,112.0,3.8620689655172415,3.8620689655172415
46,1.0,1,2,1,1,1,1,0,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,5,20.65217391304348,6,0,950.0,935,15.0,15.0,1.5789473684210527,1.5789473684210527
109,2.0,1,1,0,0,1,1,0,1,1, Centro , Palacio ,1355,1370,4,15.596330275229356,6,0,1700.0,1487,213.0,213.0,12.529411764705882,12.529411764705882
50,1.0,1,3,0,0,1,0,0,0,0, Centro , Palacio ,1355,1370,1,17.4,6,0,870.0,919,49.0,-49.0,-5.632183908045977,5.632183908045977
75,3.0,1,3,0,0,1,1,1,0,0, Barrio de Salamanca , Guindalera ,2079,1349,3,16.0,6,0,1200.0,1291,91.0,-91.0,-7.583333333333333,7.583333333333333
50,1.0,1,1,0,1,1,1,1,0,0, Chamberí , Arapiles ,1671,1325,5,23.0,7,0,1150.0,1083,67.0,67.0,5.826086956521739,5.826086956521739
35,0.0,1,5,1,1,1,1,1,1,0, Barrio de Salamanca , Guindalera ,2079,1349,6,24.285714285714285,6,0,850.0,869,19.0,-19.0,-2.235294117647059,2.235294117647059
67,3.0,1,3,0,0,0,1,1,0,0, Latina , Águilas ,992,800,2,11.940298507462687,1,0,800.0,799,1.0,1.0,0.125,0.125
85,1.0,1,5,0,1,1,1,1,0,0, Centro , Palacio ,1355,1370,5,15.294117647058822,6,0,1300.0,1727,427.0,-427.0,-32.84615384615385,32.84615384615385
90,1.0,1,2,0,1,1,1,0,0,0, Chamberí , Almagro ,1671,2327,4,16.666666666666668,8,0,1500.0,1780,280.0,-280.0,-18.666666666666668,18.666666666666668
73,2.0,1,1,0,0,1,1,1,1,0, Moncloa , Aravaca ,2151,2367,4,13.698630136986301,4,0,1000.0,1000,0.0,0.0,0.0,0.0
33,1.0,1,1,0,0,0,0,0,0,0, Arganzuela , Delicias ,1094,1116,1,24.24242424242424,5,0,800.0,661,139.0,139.0,17.375,17.375
150,4.0,3,8,1,1,1,1,0,0,1, Chamberí , Gaztambide ,1671,1448,5,14.0,6,0,2100.0,2109,9.0,-9.0,-0.42857142857142855,0.42857142857142855
50,2.0,1,0,1,0,0,0,0,0,0, Moncloa , Casa de Campo ,2151,1288,1,15.0,4,0,750.0,809,59.0,-59.0,-7.866666666666666,7.866666666666666
20,1.0,1,3,0,1,1,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,32.5,6,0,650.0,644,6.0,6.0,0.9230769230769231,0.9230769230769231
55,2.0,1,3,0,1,1,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.454545454545455,6,0,850.0,982,132.0,-132.0,-15.529411764705882,15.529411764705882
44,2.0,1,5,0,0,1,0,0,0,0, Retiro , Ibiza ,1790,1462,2,19.318181818181817,7,0,850.0,961,111.0,-111.0,-13.058823529411764,13.058823529411764
45,1.0,1,5,1,1,1,0,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,5,22.222222222222218,8,0,1000.0,1022,22.0,-22.0,-2.2,2.2
55,2.0,1,1,0,0,0,1,0,0,0, Centro , Chueca-Justicia ,1355,1709,1,16.272727272727273,8,0,895.0,1068,173.0,-173.0,-19.329608938547487,19.329608938547487
57,1.0,1,0,0,1,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,3,20.17543859649123,7,0,1150.0,1030,120.0,120.0,10.434782608695652,10.434782608695652
50,2.0,1,1,0,0,1,1,0,0,0, Carabanchel , Opañel ,892,885,2,17.0,4,0,850.0,793,57.0,57.0,6.705882352941177,6.705882352941177
40,1.0,1,2,1,0,1,1,0,0,0, Chamberí , Gaztambide ,1671,1448,2,21.25,6,0,850.0,893,43.0,-43.0,-5.0588235294117645,5.0588235294117645
110,2.0,2,5,0,1,1,0,0,0,0, Centro , Palacio ,1355,1370,3,14.536363636363635,6,0,1599.0,1658,59.0,-59.0,-3.689806128830519,3.689806128830519
70,2.0,2,4,1,1,1,0,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,3,17.142857142857142,8,0,1200.0,2052,852.0,-852.0,-71.0,71.0
120,3.0,2,5,0,1,1,1,1,1,1, San Blas , Rejas ,1071,968,9,11.25,2,0,1350.0,1306,44.0,44.0,3.259259259259259,3.259259259259259
85,2.0,2,3,0,1,0,1,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,1,15.294117647058822,6,0,1300.0,1436,136.0,-136.0,-10.461538461538462,10.461538461538462
108,2.0,2,9,0,0,1,1,0,0,0, Chamartín , Castilla ,1950,1451,3,11.111111111111109,5,0,1200.0,1521,321.0,-321.0,-26.75,26.75
105,2.0,2,1,0,1,1,1,0,1,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.238095238095234,6,0,1600.0,1674,74.0,-74.0,-4.625,4.625
60,2.0,1,7,0,1,1,1,0,0,0, San Blas , Simancas ,1071,948,2,12.166666666666664,2,0,730.0,810,80.0,-80.0,-10.95890410958904,10.95890410958904
90,2.0,1,3,0,0,1,0,0,0,0, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,2,12.777777777777779,6,0,1150.0,1417,267.0,-267.0,-23.217391304347824,23.217391304347824
80,2.0,2,4,0,1,1,1,0,0,1, Barajas , Timón ,1082,966,5,12.5,2,0,1000.0,1057,57.0,-57.0,-5.7,5.7
69,2.0,1,8,1,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,4,26.08695652173913,7,0,1800.0,1451,349.0,349.0,19.38888888888889,19.38888888888889
32,2.0,1,4,0,0,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,25.0,6,0,800.0,763,37.0,37.0,4.625,4.625
95,3.0,2,3,1,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,16.842105263157894,7,0,1600.0,1593,7.0,7.0,0.4375,0.4375
50,1.0,1,4,0,0,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,15.8,7,0,790.0,949,159.0,-159.0,-20.126582278481013,20.126582278481013
89,2.0,2,3,0,1,1,1,0,0,0, Puente de Vallecas , Palomeras Bajas ,775,825,3,9.550561797752811,2,0,850.0,854,4.0,-4.0,-0.47058823529411764,0.47058823529411764
100,3.0,2,2,1,1,0,0,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,17.39,6,0,1739.0,1568,171.0,171.0,9.83323749281196,9.83323749281196
61,1.0,1,0,0,0,1,1,0,0,0, Centro , Palacio ,1355,1370,2,15.573770491803279,6,0,950.0,949,1.0,1.0,0.10526315789473684,0.10526315789473684
170,4.0,2,4,1,1,1,1,1,0,0, Chamartín , Nueva España ,1950,2310,4,12.941176470588234,6,0,2200.0,2724,524.0,-524.0,-23.818181818181817,23.818181818181817
55,2.0,1,5,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,20.0,6,0,1100.0,1139,39.0,-39.0,-3.5454545454545454,3.5454545454545454
136,2.0,2,4,0,1,1,1,0,0,0, San Blas , Rosas ,1071,1051,5,8.823529411764708,1,0,1200.0,1375,175.0,-175.0,-14.583333333333334,14.583333333333334
30,1.0,1,0,0,0,0,1,0,0,0, Arganzuela , Palos de Moguer ,1094,1075,0,26.33333333333333,6,0,790.0,711,79.0,79.0,10.0,10.0
82,2.0,1,2,0,1,1,1,0,0,1, Moncloa , Aravaca ,2151,2367,5,17.073170731707318,4,0,1400.0,1202,198.0,198.0,14.142857142857142,14.142857142857142
214,4.0,4,1,0,1,1,1,1,1,1, Moncloa , Valdemarín ,2151,2975,9,14.953271028037387,4,0,3200.0,2951,249.0,249.0,7.78125,7.78125
55,2.0,1,0,0,0,0,1,0,0,0, Tetuán , Berruguete ,1190,935,1,12.545454545454545,5,0,690.0,848,158.0,-158.0,-22.89855072463768,22.89855072463768
110,2.0,2,2,0,1,0,1,0,1,0, Centro , Sol ,1355,1312,3,13.181818181818182,6,0,1450.0,1600,150.0,-150.0,-10.344827586206897,10.344827586206897
60,2.0,2,0,0,1,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,3,30.0,7,0,1800.0,1305,495.0,495.0,27.5,27.5
90,2.0,2,3,1,1,1,1,0,0,0, Ciudad Lineal , Colina ,1263,1193,5,14.388888888888891,4,0,1295.0,1303,8.0,-8.0,-0.6177606177606177,0.6177606177606177
70,1.0,1,0,1,0,1,0,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,15.714285714285715,7,0,1100.0,1054,46.0,46.0,4.181818181818182,4.181818181818182
110,1.0,2,2,0,1,1,1,0,0,0, San Blas , Rejas ,1071,968,2,11.727272727272727,2,0,1290.0,1157,133.0,133.0,10.310077519379846,10.310077519379846
61,1.0,1,0,0,1,1,1,0,0,0, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,3,19.672131147540984,6,0,1200.0,1051,149.0,149.0,12.416666666666666,12.416666666666666
42,1.0,1,0,0,1,0,0,1,0,0, Retiro , Pacífico ,1790,1185,3,19.047619047619047,5,0,800.0,796,4.0,4.0,0.5,0.5
70,2.0,1,3,0,1,1,1,0,1,0, Centro , Sol ,1355,1312,4,20.0,6,0,1400.0,1220,180.0,180.0,12.857142857142858,12.857142857142858
65,1.0,1,2,0,1,0,1,1,0,0, San Blas , Simancas ,1071,948,3,13.076923076923075,2,0,850.0,831,19.0,19.0,2.235294117647059,2.235294117647059
49,1.0,1,1,0,1,1,1,0,0,0, Centro , Chueca-Justicia ,1355,1709,2,43.24489795918368,8,0,2119.0,1311,808.0,808.0,38.131193959414816,38.131193959414816
75,2.0,1,1,0,1,1,1,0,1,0, Barrio de Salamanca , Guindalera ,2079,1349,4,18.666666666666668,6,0,1400.0,1305,95.0,95.0,6.785714285714286,6.785714285714286
70,2.0,1,3,0,1,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,17.142857142857142,6,0,1200.0,1120,80.0,80.0,6.666666666666667,6.666666666666667
70,2.0,1,5,0,1,1,0,0,0,1, Centro , Chueca-Justicia ,1355,1709,4,19.285714285714285,8,0,1350.0,1481,131.0,-131.0,-9.703703703703704,9.703703703703704
70,2.0,1,3,1,0,1,1,1,0,0, Tetuán , Ventilla-Almenara ,1190,1189,4,15.714285714285715,5,0,1100.0,1090,10.0,10.0,0.9090909090909091,0.9090909090909091
56,2.0,1,2,0,1,1,1,0,1,0, Chamberí , Almagro ,1671,2327,3,20.535714285714285,8,0,1150.0,1264,114.0,-114.0,-9.91304347826087,9.91304347826087
50,1.0,1,1,0,1,0,1,1,0,0, Chamartín , Nueva España ,1950,2310,2,26.0,6,0,1300.0,1148,152.0,152.0,11.692307692307692,11.692307692307692
187,3.0,3,4,0,1,1,1,0,0,0, Ciudad Lineal , Atalaya ,1263,2491,5,14.97326203208556,3,0,2800.0,2306,494.0,494.0,17.642857142857142,17.642857142857142
55,1.0,1,1,0,1,1,1,0,0,0, Carabanchel , Abrantes ,892,838,3,14.545454545454545,1,0,800.0,734,66.0,66.0,8.25,8.25
78,2.0,2,1,1,1,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,3,16.53846153846154,6,0,1290.0,1649,359.0,-359.0,-27.829457364341085,27.829457364341085
50,1.0,1,1,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,27.0,6,0,1350.0,1088,262.0,262.0,19.40740740740741,19.40740740740741
96,2.0,2,4,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,3,15.625,6,0,1500.0,1554,54.0,-54.0,-3.6,3.6
40,2.0,1,0,0,0,1,1,0,0,0, Barrio de Salamanca , Goya ,2079,1759,2,28.75,7,0,1150.0,876,274.0,274.0,23.82608695652174,23.82608695652174
46,2.0,2,0,0,1,0,0,0,0,0, Chamberí , Nuevos Ministerios-Ríos Rosas ,1671,1581,2,28.15217391304348,6,0,1295.0,1100,195.0,195.0,15.057915057915057,15.057915057915057
50,1.0,1,6,0,1,0,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,1,26.0,8,0,1300.0,1448,148.0,-148.0,-11.384615384615385,11.384615384615385
50,1.0,1,4,0,0,0,0,0,0,0, Chamberí , Arapiles ,1671,1325,1,18.0,7,0,900.0,918,18.0,-18.0,-2.0,2.0
35,1.0,1,0,0,0,1,1,0,0,0, Centro , Malasaña-Universidad ,1355,1313,2,21.285714285714285,7,0,745.0,812,67.0,-67.0,-8.993288590604028,8.993288590604028
95,2.0,2,1,0,1,1,0,0,0,0, Retiro , Ibiza ,1790,1462,3,17.368421052631582,7,0,1650.0,1658,8.0,-8.0,-0.48484848484848486,0.48484848484848486
78,2.0,1,4,0,0,1,0,0,0,0, Retiro , Ibiza ,1790,1462,3,17.94871794871795,7,0,1400.0,1274,126.0,126.0,9.0,9.0
78,2.0,1,1,0,0,0,1,1,0,0, Fuencarral , Pilar ,1744,996,3,14.1025641025641,4,0,1100.0,1009,91.0,91.0,8.272727272727273,8.272727272727273
70,2.0,1,3,0,1,1,1,0,0,0, Chamartín , El Viso ,1950,3136,3,16.428571428571427,7,0,1150.0,1205,55.0,-55.0,-4.782608695652174,4.782608695652174
85,2.0,1,4,1,0,0,1,0,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,1,14.117647058823529,6,0,1200.0,1238,38.0,-38.0,-3.1666666666666665,3.1666666666666665
156,4.0,3,2,0,1,1,1,0,0,1, San Blas , Simancas ,1071,948,5,11.538461538461537,2,0,1800.0,1742,58.0,58.0,3.2222222222222223,3.2222222222222223
100,3.0,1,1,1,0,1,0,0,0,0, Moncloa , Argüelles ,2151,1727,2,12.5,6,0,1250.0,1505,255.0,-255.0,-20.4,20.4
120,2.0,2,4,0,1,1,0,0,0,0, Centro , Huertas-Cortes ,1355,1450,3,9.166666666666666,7,0,1100.0,2066,966.0,-966.0,-87.81818181818181,87.81818181818181
160,3.0,2,3,1,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,15.625,6,0,2500.0,2598,98.0,-98.0,-3.92,3.92
40,1.0,1,2,0,0,0,0,0,0,0, Centro , Malasaña-Universidad ,1355,1313,0,16.25,7,0,650.0,784,134.0,-134.0,-20.615384615384617,20.615384615384617
95,2.0,2,3,0,1,1,1,0,0,0, Tetuán , Valdeacederas ,1190,934,4,12.63157894736842,5,0,1200.0,1306,106.0,-106.0,-8.833333333333334,8.833333333333334
50,1.0,1,1,0,1,1,1,0,0,0, San Blas , Simancas ,1071,948,4,16.0,2,0,800.0,779,21.0,21.0,2.625,2.625
45,1.0,1,3,0,0,1,1,0,0,0, Chamartín , Castilla ,1950,1451,2,16.666666666666668,5,0,750.0,769,19.0,-19.0,-2.533333333333333,2.533333333333333
90,3.0,2,4,1,1,1,1,1,0,0, Arganzuela , Palos de Moguer ,1094,1075,4,17.777777777777782,6,0,1600.0,1468,132.0,132.0,8.25,8.25
80,2.0,2,6,0,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,42.1875,7,0,3375.0,2806,569.0,569.0,16.85925925925926,16.85925925925926
50,1.0,1,3,0,1,1,0,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,23.0,6,0,1150.0,1040,110.0,110.0,9.565217391304348,9.565217391304348
30,1.0,1,3,0,1,0,1,0,0,0, Centro , Sol ,1355,1312,2,26.66666666666667,6,0,800.0,789,11.0,11.0,1.375,1.375
140,4.0,2,2,1,0,1,1,1,1,0, Retiro , Ibiza ,1790,1462,5,14.285714285714285,7,0,2000.0,1948,52.0,52.0,2.6,2.6
75,2.0,1,3,1,0,1,0,1,0,0, Latina , Aluche ,992,920,3,10.666666666666666,1,0,800.0,835,35.0,-35.0,-4.375,4.375
75,1.0,2,6,0,1,1,1,1,0,0, Chamberí , Trafalgar ,1671,1474,7,20.0,7,0,1500.0,1723,223.0,-223.0,-14.866666666666667,14.866666666666667
200,3.0,3,6,0,1,1,1,0,0,0, Barrio de Salamanca , Recoletos ,2079,2933,3,16.0,8,0,3200.0,3673,473.0,-473.0,-14.78125,14.78125
46,2.0,1,2,0,0,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,18.456521739130434,6,0,849.0,891,42.0,-42.0,-4.946996466431095,4.946996466431095
80,3.0,1,3,0,0,1,0,0,0,0, Chamberí , Gaztambide ,1671,1448,2,18.75,6,0,1500.0,1355,145.0,145.0,9.666666666666666,9.666666666666666
84,2.0,1,5,1,0,1,1,0,0,0, Retiro , Niño Jesús ,1790,2269,3,17.857142857142858,6,0,1500.0,1359,141.0,141.0,9.4,9.4
80,1.0,1,3,0,1,1,1,1,1,0, Centro , Sol ,1355,1312,5,14.375,6,0,1150.0,1364,214.0,-214.0,-18.608695652173914,18.608695652173914
45,2.0,1,1,0,0,1,1,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,19.444444444444443,6,0,875.0,911,36.0,-36.0,-4.114285714285714,4.114285714285714
130,2.0,1,7,0,1,1,1,1,1,0, Barrio de Salamanca , Fuente del Berro ,2079,1181,5,13.461538461538463,5,0,1750.0,1551,199.0,199.0,11.371428571428572,11.371428571428572
35,1.0,1,2,1,0,1,0,0,0,0, Tetuán , Valdeacederas ,1190,934,3,18.571428571428573,5,0,650.0,697,47.0,-47.0,-7.230769230769231,7.230769230769231
42,1.0,1,1,0,0,1,0,0,0,1, Centro , Huertas-Cortes ,1355,1450,3,28.57142857142857,7,0,1200.0,901,299.0,299.0,24.916666666666668,24.916666666666668
42,1.0,1,3,1,1,1,1,1,0,0, Centro , Malasaña-Universidad ,1355,1313,5,37.976190476190474,7,0,1595.0,1137,458.0,458.0,28.71473354231975,28.71473354231975
60,1.0,1,5,0,1,1,1,0,1,0, Barrio de Salamanca , Lista ,2079,1715,4,20.0,7,0,1200.0,1219,19.0,-19.0,-1.5833333333333333,1.5833333333333333
70,2.0,2,2,0,1,1,1,0,1,0, Centro , Huertas-Cortes ,1355,1450,4,19.857142857142858,7,0,1390.0,1478,88.0,-88.0,-6.330935251798561,6.330935251798561
88,2.0,2,2,0,0,0,1,0,1,1, Centro , Huertas-Cortes ,1355,1450,2,15.340909090909092,7,0,1350.0,1477,127.0,-127.0,-9.407407407407407,9.407407407407407
120,5.0,2,5,0,0,0,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,1,20.0,8,0,2400.0,2165,235.0,235.0,9.791666666666666,9.791666666666666
154,3.0,2,4,0,0,1,1,0,1,1, Moncloa , Argüelles ,2151,1727,5,12.662337662337663,6,0,1950.0,2128,178.0,-178.0,-9.128205128205128,9.128205128205128
59,1.0,1,1,0,1,1,1,0,0,1, Hortaleza , Conde Orgaz-Piovera ,2693,4039,5,20.508474576271187,5,0,1210.0,1100,110.0,110.0,9.090909090909092,9.090909090909092
155,4.0,4,3,0,1,1,1,0,0,1, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,5,20.0,6,0,3100.0,2613,487.0,487.0,15.709677419354838,15.709677419354838
81,1.0,1,2,0,0,1,1,0,1,0, Centro , Palacio ,1355,1370,3,11.728395061728394,6,0,950.0,1185,235.0,-235.0,-24.736842105263158,24.736842105263158
75,3.0,2,3,0,0,1,1,0,1,0, Chamberí , Gaztambide ,1671,1448,3,21.33333333333333,6,0,1600.0,1417,183.0,183.0,11.4375,11.4375
65,1.0,2,3,0,1,1,1,0,1,0, Centro , Chueca-Justicia ,1355,1709,5,22.30769230769231,8,0,1450.0,1677,227.0,-227.0,-15.655172413793103,15.655172413793103
30,0.0,1,5,0,0,0,1,0,0,1, Centro , Lavapiés-Embajadores ,1355,1106,2,21.66666666666667,6,0,650.0,721,71.0,-71.0,-10.923076923076923,10.923076923076923
80,3.0,1,9,1,1,0,1,0,0,0, Latina , Águilas ,992,800,3,10.625,1,0,850.0,881,31.0,-31.0,-3.6470588235294117,3.6470588235294117
110,4.0,2,3,1,0,1,0,0,0,0, Chamberí , Arapiles ,1671,1325,2,19.545454545454547,7,0,2150.0,1896,254.0,254.0,11.813953488372093,11.813953488372093
150,4.0,3,3,1,1,1,1,0,0,0, Barrio de Salamanca , Castellana ,2079,2512,3,16.666666666666668,8,0,2500.0,2452,48.0,48.0,1.92,1.92
81,2.0,1,2,0,1,0,1,0,0,0, Tetuán , Ventilla-Almenara ,1190,1189,3,12.345679012345679,5,0,1000.0,1142,142.0,-142.0,-14.2,14.2
50,1.0,1,6,0,1,1,0,0,0,0, Barrio de Salamanca , Recoletos ,2079,2933,2,25.0,8,0,1250.0,1539,289.0,-289.0,-23.12,23.12
83,4.0,1,5,0,0,1,1,0,1,0, Centro , Lavapiés-Embajadores ,1355,1106,2,20.48192771084337,6,0,1700.0,1494,206.0,206.0,12.117647058823529,12.117647058823529
70,2.0,2,3,0,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,23.57142857142857,7,0,1650.0,2005,355.0,-355.0,-21.515151515151516,21.515151515151516
150,3.0,3,2,0,1,1,1,0,1,0, Barrio de Salamanca , Castellana ,2079,2512,4,23.33333333333333,8,0,3500.0,3965,465.0,-465.0,-13.285714285714286,13.285714285714286
85,3.0,1,5,1,1,0,1,0,1,0, Barrio de Salamanca , Fuente del Berro ,2079,1181,3,17.647058823529417,5,0,1500.0,1360,140.0,140.0,9.333333333333334,9.333333333333334
80,1.0,1,1,0,1,1,0,1,1,0, Centro , Lavapiés-Embajadores ,1355,1106,6,13.75,6,0,1100.0,1390,290.0,-290.0,-26.363636363636363,26.363636363636363
47,2.0,1,5,0,0,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,0,25.53191489361702,7,0,1200.0,1136,64.0,64.0,5.333333333333333,5.333333333333333
140,3.0,2,1,0,1,1,1,0,1,1, Moncloa , Argüelles ,2151,1727,5,14.285714285714285,6,0,2000.0,2249,249.0,-249.0,-12.45,12.45
32,1.0,1,1,0,1,0,1,0,0,0, Arganzuela , Palos de Moguer ,1094,1075,1,26.5625,6,0,850.0,742,108.0,108.0,12.705882352941176,12.705882352941176
80,2.0,1,6,0,1,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,3,20.625,6,0,1650.0,1448,202.0,202.0,12.242424242424242,12.242424242424242
130,3.0,2,2,1,1,1,1,1,1,0, Barrio de Salamanca , Castellana ,2079,2512,6,18.846153846153847,8,0,2450.0,2269,181.0,181.0,7.387755102040816,7.387755102040816
234,3.0,3,2,1,1,1,1,0,1,0, Barrio de Salamanca , Castellana ,2079,2512,4,18.37606837606837,8,0,4300.0,3294,1006.0,1006.0,23.3953488372093,23.3953488372093
